order_id,customer_id,order_date,region,order_value
1,290,2026-01-17,South,803.147616327575
2,1419,2025-06-06,West,195.40706054116765
3,1831,2025-08-31,North,58.60523809692468
4,284,2025-10-13,South,703.2592945484389
5,389,2025-07-12,North,50.60839500016266
6,450,2025-07-14,South,588.852032726108
7,1327,2025-05-19,East,630.0227435752911
8,1050,2025-03-15,North,500.7484836349158
9,706,2025-12-12,South,669.2236295633688
10,907,2025-04-22,East,697.8077427045234
11,1746,2025-09-28,West,802.0097519124223
12,906,2025-07-21,South,559.6163316839167
13,945,2025-08-29,East,518.7445554975532
14,198,2025-11-25,North,878.1478488484944
15,1150,2025-04-20,South,64.76548387704311
16,123,2025-03-16,West,928.4890108374725
17,395,2025-05-14,North,163.82514349707955
18,859,2025-04-29,North,921.5832309589196
19,1088,2025-08-29,West,335.0648074801284
20,1893,2025-12-20,East,570.2257432219315
21,1340,2025-06-17,South,966.5504511657971
22,218,2025-04-02,North,612.5534813839674
23,780,2025-10-06,South,842.4734562813449
24,1001,2025-05-24,West,759.6411556566263
25,307,2025-04-21,East,338.8991937148065
26,1880,2025-04-13,East,846.525331550477
27,1030,2025-07-08,North,599.3876868241705
28,267,2025-07-16,North,210.35472401129408
29,636,2025-12-28,South,143.2940707372345
30,1982,2026-02-07,South,377.54951638148407
31,1702,2025-06-07,East,29.51924361082689
32,122,2025-08-31,East,873.5454364923123
33,1893,2025-10-15,East,415.0034611229895
34,885,2025-09-12,East,526.5312674018776
35,385,2025-08-26,East,697.2884218968111
36,1566,2025-10-13,West,478.224535668288
37,1936,2026-02-10,West,121.3798958532195
38,1947,2025-11-03,South,376.2900801726768
39,1209,2026-01-08,West,24.48007935583557
40,1748,2025-07-21,North,642.0256036182211
41,1490,2025-09-21,South,923.8207036928121
42,275,2025-08-31,West,816.6637249222839
43,1441,2025-05-06,West,768.794269836975
44,339,2025-09-26,West,129.5934932196868
45,1406,2025-04-20,North,382.99368220473553
46,1966,2025-06-22,North,495.9491832212766
47,1983,2026-02-15,North,606.2021395244814
48,455,2026-01-19,West,182.7582213664082
49,963,2025-07-21,South,745.8509873227442
50,215,2025-09-18,South,490.58854771505764
51,993,2025-04-28,North,94.49969789722265
52,1334,2025-06-04,West,299.4330584417653
53,714,2025-07-12,North,269.9766120645213
54,1710,2026-02-17,North,452.62719353086925
55,1161,2025-06-14,West,585.5052824918581
56,313,2025-03-16,North,545.2961238897806
57,934,2026-02-10,South,859.040091365474
58,532,2025-11-29,South,110.81778866036643
59,1333,2025-04-21,East,847.8779330540624
60,402,2025-12-30,East,63.719321197598774
61,1987,2025-06-29,South,862.9041657313414
62,336,2025-10-13,North,909.9551534395943
63,916,2025-08-17,West,374.2575055997983
64,1114,2026-02-17,North,376.81822772417956
65,289,2026-01-04,West,371.5139158370752
66,1320,2025-09-16,South,926.7979243053984
67,1461,2026-01-16,East,355.50621297954257
68,709,2025-12-26,South,600.6508767016783
69,276,2026-02-07,South,842.9720632567411
70,1327,2025-03-13,West,511.2481191597765
71,1052,2025-04-10,West,280.5706860602007
72,1656,2026-01-13,West,560.6789931689161
73,1473,2025-08-11,West,571.8903245107853
74,1811,2025-10-23,East,839.6444318636711
75,1456,2025-09-20,East,455.04548253405113
76,1152,2026-02-23,North,878.9594664267379
77,1792,2025-08-20,East,511.0481575411021
78,869,2025-06-19,South,200.28916433327498
79,600,2026-02-13,North,247.10814531312806
80,43,2025-06-30,West,764.3884110907358
81,83,2025-06-01,West,422.366373499984
82,1651,2026-02-28,South,27.58655328532845
83,215,2025-03-22,West,789.198294836026
84,773,2025-07-08,East,127.78790581371513
85,632,2025-08-14,North,639.593001986102
86,1986,2025-03-29,West,98.22335068519013
87,1100,2026-01-29,East,78.11111164061982
88,689,2026-01-11,North,426.6183376059118
89,1955,2025-08-12,East,153.46449919234232
90,41,2025-11-03,North,607.3867384303676
91,1105,2025-09-26,East,496.3648061698106
92,1540,2025-03-20,North,830.7983043102971
93,181,2025-10-15,West,525.1774978958399
94,226,2025-10-28,South,624.7233306517417
95,941,2025-03-28,North,672.745583500108
96,1843,2025-07-03,North,343.6786506573218
97,442,2025-12-12,East,450.0381724387328
98,614,2026-01-18,North,750.2536165859109
99,1255,2025-10-18,East,928.3590120798918
100,157,2025-04-18,West,685.5226995457125
101,1801,2025-11-08,North,437.93607095592847
102,1083,2026-01-07,South,321.5559777478589
103,1252,2025-04-24,West,392.9420156401799
104,1396,2025-09-17,East,841.5481882767983
105,29,2025-05-30,West,73.00605711193217
106,114,2025-12-05,East,888.9806524541555
107,1226,2025-08-02,South,62.916636748315575
108,1429,2025-09-09,South,800.2541732765208
109,1268,2026-01-22,South,287.829806551557
110,1730,2025-07-22,South,688.8137681464317
111,1490,2026-02-13,West,462.1946108851501
112,1367,2025-10-01,East,829.6078358060423
113,1314,2025-09-22,North,85.65376850287674
114,1320,2025-09-14,East,163.9779878444387
115,77,2025-04-11,North,994.971371043007
116,1819,2025-12-26,East,207.17978528540672
117,1816,2025-09-27,North,106.76798591758312
118,1754,2025-11-15,North,953.501553002074
119,1396,2025-06-25,North,689.0168417946703
120,905,2025-09-20,North,674.8993074929882
121,407,2026-02-08,West,547.4394295766955
122,701,2026-02-06,East,380.733434953546
123,1599,2025-12-25,North,982.1694965306177
124,176,2025-06-17,West,104.06391037959543
125,501,2026-02-06,West,731.1867631842802
126,1665,2025-11-14,West,967.0073341609929
127,1595,2025-05-23,West,133.3302977238388
128,641,2025-06-30,East,720.0498223716335
